PID, Clients, Delay (ms)
14733,8 Pubs and Subs ,0.66
14733,8 Pubs and Subs ,0.72
14733,8 Pubs and Subs ,1.02
14733,8 Pubs and Subs ,1.23
14734,8 Pubs and Subs ,1.00
14734,8 Pubs and Subs ,1.63
14734,8 Pubs and Subs ,3.14
14734,8 Pubs and Subs ,4.06
14735,8 Pubs and Subs ,0.72
14735,8 Pubs and Subs ,0.83
14735,8 Pubs and Subs ,1.17
14735,8 Pubs and Subs ,2.03
14736,8 Pubs and Subs ,0.52
14736,8 Pubs and Subs ,0.56
14736,8 Pubs and Subs ,1.07
14736,8 Pubs and Subs ,2.02
14737,8 Pubs and Subs ,1.58
14737,8 Pubs and Subs ,2.15
14737,8 Pubs and Subs ,2.35
14737,8 Pubs and Subs ,2.48
14738,8 Pubs and Subs ,0.44
14738,8 Pubs and Subs ,0.44
14738,8 Pubs and Subs ,0.46
14738,8 Pubs and Subs ,0.96
14739,8 Pubs and Subs ,0.90
14739,8 Pubs and Subs ,1.21
14739,8 Pubs and Subs ,1.94
14739,8 Pubs and Subs ,2.80
14740,8 Pubs and Subs ,0.58
14740,8 Pubs and Subs ,1.11
14740,8 Pubs and Subs ,2.01
14740,8 Pubs and Subs ,2.84
14741,8 Pubs and Subs ,2.49
14741,8 Pubs and Subs ,3.12
14741,8 Pubs and Subs ,3.17
14741,8 Pubs and Subs ,3.70
14742,8 Pubs and Subs ,1.38
14742,8 Pubs and Subs ,1.84
14742,8 Pubs and Subs ,2.27
14742,8 Pubs and Subs ,2.70
14743,8 Pubs and Subs ,11.38
14743,8 Pubs and Subs ,11.84
14743,8 Pubs and Subs ,12.27
14743,8 Pubs and Subs ,12.69
14744,8 Pubs and Subs ,1.58
14744,8 Pubs and Subs ,1.94
14744,8 Pubs and Subs ,2.25
14744,8 Pubs and Subs ,2.58
14745,8 Pubs and Subs ,3.07
14745,8 Pubs and Subs ,3.96
14745,8 Pubs and Subs ,4.76
14745,8 Pubs and Subs ,5.70
14746,8 Pubs and Subs ,3.29
14746,8 Pubs and Subs ,4.14
14746,8 Pubs and Subs ,4.89
14746,8 Pubs and Subs ,5.55
14747,8 Pubs and Subs ,0.52
14747,8 Pubs and Subs ,1.73
14747,8 Pubs and Subs ,2.46
14747,8 Pubs and Subs ,3.08
14748,8 Pubs and Subs ,1.81
14748,8 Pubs and Subs ,2.34
14748,8 Pubs and Subs ,2.80
14748,8 Pubs and Subs ,3.26
14749,8 Pubs and Subs ,0.43
14749,8 Pubs and Subs ,1.00
14749,8 Pubs and Subs ,1.67
14749,8 Pubs and Subs ,2.14
14750,8 Pubs and Subs ,3.24
14750,8 Pubs and Subs ,3.53
14750,8 Pubs and Subs ,3.65
14750,8 Pubs and Subs ,3.74
14751,8 Pubs and Subs ,0.45
14751,8 Pubs and Subs ,0.47
14751,8 Pubs and Subs ,0.88
14751,8 Pubs and Subs ,1.30
14752,8 Pubs and Subs ,0.59
14752,8 Pubs and Subs ,0.62
14752,8 Pubs and Subs ,1.02
14752,8 Pubs and Subs ,1.34
14753,8 Pubs and Subs ,3.09
14753,8 Pubs and Subs ,3.08
14753,8 Pubs and Subs ,3.51
14753,8 Pubs and Subs ,3.13
14754,8 Pubs and Subs ,3.27
14754,8 Pubs and Subs ,3.71
14754,8 Pubs and Subs ,4.18
14754,8 Pubs and Subs ,4.88
14755,8 Pubs and Subs ,0.64
14755,8 Pubs and Subs ,1.38
14755,8 Pubs and Subs ,2.04
14755,8 Pubs and Subs ,2.64
14756,8 Pubs and Subs ,0.39
14756,8 Pubs and Subs ,1.05
14756,8 Pubs and Subs ,1.39
14756,8 Pubs and Subs ,0.74
14757,8 Pubs and Subs ,0.42
14757,8 Pubs and Subs ,0.69
14757,8 Pubs and Subs ,0.82
14757,8 Pubs and Subs ,0.89
14758,8 Pubs and Subs ,0.83
14758,8 Pubs and Subs ,0.88
14758,8 Pubs and Subs ,0.67
14758,8 Pubs and Subs ,1.43
14759,8 Pubs and Subs ,0.60
14759,8 Pubs and Subs ,1.29
14759,8 Pubs and Subs ,3.77
14759,8 Pubs and Subs ,4.26
14760,8 Pubs and Subs ,0.44
14760,8 Pubs and Subs ,0.47
14760,8 Pubs and Subs ,0.96
14760,8 Pubs and Subs ,0.97
14761,8 Pubs and Subs ,5.48
14761,8 Pubs and Subs ,5.60
14761,8 Pubs and Subs ,6.19
14762,8 Pubs and Subs ,1.09
14762,8 Pubs and Subs ,1.10
14761,8 Pubs and Subs ,6.66
14762,8 Pubs and Subs ,1.59
14762,8 Pubs and Subs ,2.38
