Clients, Delay (ms)
16 Pubs and Subs ,4749.18
16 Pubs and Subs ,4783.75
16 Pubs and Subs ,4884.31
16 Pubs and Subs ,4903.44
16 Pubs and Subs ,4919.46
16 Pubs and Subs ,4988.04
16 Pubs and Subs ,5049.18
16 Pubs and Subs ,5073.57
16 Pubs and Subs ,5071.19
16 Pubs and Subs ,5191.74
16 Pubs and Subs ,5051.82
16 Pubs and Subs ,5095.41
16 Pubs and Subs ,5318.66
16 Pubs and Subs ,5349.70
16 Pubs and Subs ,4919.72
16 Pubs and Subs ,5162.69
16 Pubs and Subs ,5196.17
16 Pubs and Subs ,5348.03
16 Pubs and Subs ,5289.59
16 Pubs and Subs ,5351.84
16 Pubs and Subs ,5387.61
16 Pubs and Subs ,5437.56
16 Pubs and Subs ,5454.04
16 Pubs and Subs ,5480.90
16 Pubs and Subs ,5412.70
16 Pubs and Subs ,5626.85
16 Pubs and Subs ,5517.77
16 Pubs and Subs ,5500.67
16 Pubs and Subs ,5506.95
16 Pubs and Subs ,5705.10
16 Pubs and Subs ,5600.80
16 Pubs and Subs ,5376.86
16 Pubs and Subs ,5599.12
16 Pubs and Subs ,5716.05
16 Pubs and Subs ,5719.60
16 Pubs and Subs ,5810.34
16 Pubs and Subs ,5819.59
16 Pubs and Subs ,5815.82
16 Pubs and Subs ,5877.73
16 Pubs and Subs ,5824.47
16 Pubs and Subs ,5940.22
16 Pubs and Subs ,5950.58
16 Pubs and Subs ,5923.48
16 Pubs and Subs ,5926.16
16 Pubs and Subs ,5971.76
16 Pubs and Subs ,5980.30
16 Pubs and Subs ,6004.78
16 Pubs and Subs ,5782.08
16 Pubs and Subs ,6096.58
16 Pubs and Subs ,6135.44
16 Pubs and Subs ,6122.92
16 Pubs and Subs ,6206.03
16 Pubs and Subs ,6207.85
16 Pubs and Subs ,6277.01
16 Pubs and Subs ,6291.69
16 Pubs and Subs ,6112.64
16 Pubs and Subs ,6280.80
16 Pubs and Subs ,6368.76
16 Pubs and Subs ,6347.01
16 Pubs and Subs ,6298.57
16 Pubs and Subs ,6375.72
16 Pubs and Subs ,6371.05
16 Pubs and Subs ,6428.66
16 Pubs and Subs ,6161.02
16 Pubs and Subs ,6548.27
16 Pubs and Subs ,6569.36
16 Pubs and Subs ,6618.48
16 Pubs and Subs ,6589.61
16 Pubs and Subs ,6592.98
16 Pubs and Subs ,6684.39
16 Pubs and Subs ,6734.69
16 Pubs and Subs ,6523.83
16 Pubs and Subs ,6784.41
16 Pubs and Subs ,6702.44
16 Pubs and Subs ,6719.54
16 Pubs and Subs ,6778.78
16 Pubs and Subs ,6812.71
16 Pubs and Subs ,6726.42
16 Pubs and Subs ,6821.14
16 Pubs and Subs ,6617.76
16 Pubs and Subs ,6952.89
16 Pubs and Subs ,6984.85
16 Pubs and Subs ,7007.72
16 Pubs and Subs ,7021.61
16 Pubs and Subs ,7083.12
16 Pubs and Subs ,7117.38
16 Pubs and Subs ,7191.94
16 Pubs and Subs ,7152.57
16 Pubs and Subs ,7192.42
16 Pubs and Subs ,6918.57
16 Pubs and Subs ,7022.06
16 Pubs and Subs ,7029.02
16 Pubs and Subs ,7242.61
16 Pubs and Subs ,7188.94
16 Pubs and Subs ,7234.01
16 Pubs and Subs ,7368.07
16 Pubs and Subs ,7410.19
16 Pubs and Subs ,7004.03
16 Pubs and Subs ,7431.41
16 Pubs and Subs ,7477.55
16 Pubs and Subs ,7588.71
16 Pubs and Subs ,7413.58
16 Pubs and Subs ,7616.90
16 Pubs and Subs ,7410.98
16 Pubs and Subs ,7602.18
16 Pubs and Subs ,7428.55
16 Pubs and Subs ,7610.46
16 Pubs and Subs ,7479.97
16 Pubs and Subs ,7356.31
16 Pubs and Subs ,7691.22
16 Pubs and Subs ,7576.22
16 Pubs and Subs ,7694.58
16 Pubs and Subs ,7719.41
16 Pubs and Subs ,7483.91
16 Pubs and Subs ,7789.01
16 Pubs and Subs ,7997.25
16 Pubs and Subs ,7847.69
16 Pubs and Subs ,7879.00
16 Pubs and Subs ,7823.50
16 Pubs and Subs ,7828.31
